Electoral Districts,Total,Gros Islet,Babonneau,Castries North,Castries East,Castries Central,Castries South,Anse-La-Raye Canaries,Soufriere,Choiseul,Laborie,Vieux Fort South,Vieux Fort North,Micoud South,Micoud North,Dennery South,Dennery North,Castries South-East
No. of Electors,162222,20610,11265,11715,12330,9392,8883,8070,7858,8987,6516,8691,6498,7018,7449,5021,8140,13779
SLP Votes,37377,4548,2483,1480,2903,1876,2212,2087,2104,2298,2094,2439,1748,1409,927,1317,2283,3169
SLP Perc.,43.03%,40.63%,37.98%,27.80%,52.22%,44.89%,49.44%,42.86%,43.98%,40.49%,58.30%,52.51%,56.01%,34.50%,24.90%,44.81%,51.07%,41.41%
UWP Votes,46422,6339,3790,3774,2576,2249,2166,2472,2564,3192,1468,2101,1314,2571,1910,1464,2147,4325
UWP Perc.,53.45%,56.62%,57.97%,70.89%,46.34%,53.82%,48.41%,50.77%,53.60%,56.24%,40.87%,45.23%,42.10%,62.95%,51.30%,49.81%,48.03%,56.51%
LG Votes,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
LG Perc.,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.06%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
LPM,151,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LPM Perc.,0.17%,1.35%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Independents,24,0,0,0,0,13,0,0,0,0,0,0,0,0,4,7,0,0
INDEPENDENTS Perc.,0.03%,0.00%,0.00%,0.00%,0.00%,0.31%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.11%,0.24%,0.00%,0.00%
Compton-Antoine J #,787,0,0,0,0,0,0,0,0,0,0,0,0,0,787,0,0,0
Compton-Antoine J Perc.,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,21%,0%,0%,0%
Rejected Votes,2091,157,265,70,80,41,96,310,113,186,30,105,59,134,95,151,40,159
Rejected Perc.,2.41%,1.40%,4.05%,1.31%,1.44%,0.98%,2.15%,6.37%,2.36%,3.28%,0.84%,2.26%,1.89%,3.28%,2.55%,5.14%,0.89%,2.08%
Votes Cast,86855,11195,6538,5324,5559,4179,4474,4869,4784,5676,3592,4645,3121,4084,3723,2939,4470,7653
Votes Cast Perc.,53.54%,54.32%,58.04%,45.45%,45.09%,44.50%,50.37%,60.33%,60.88%,63.16%,55.13%,53.45%,48.03%,58.19%,49.98%,58.53%,54.91%,55.54%
Votes Not Cast,74745,9309,4629,6305,6672,5138,4369,3111,3016,3311,2924,4046,3377,2934,3726,2082,3670,6126
Votes Not Cast Perc.,46.08%,45.17%,41.09%,53.82%,54.11%,54.71%,49.18%,38.55%,38.38%,36.84%,44.87%,46.55%,51.97%,41.81%,50.02%,41.47%,45.09%,44.46%
Police,1566,106,98,86,99,75,40,90,58,118,88,77,83,128,187,91,39,103
,,,,,,,,,,,,,,,,,,
,,,,,86825,2091,46422,37377,,,,,,,,,,
